CY,CM,Corporate,StoreCount,EconomicIndicator,TotalCost,TotalCostWithoutDisc,TotalCostWithDisc,TotalCosttWithoutCoupon,TotalCostWithCoupon,TotalCostWithoutPromo,TotalCostWithPromo,TotalCostWithoutOther,TotalCostWithOther,TotalNetAmt,TotalNetAmtWithoutDisc,TotalNetAmtWithDisc,TotalNetAmtWithoutCoupon,TotalNetAmtWithCoupon,TotalNetAmtWithoutPromo,TotalNetAmtWithPromo,TotalNetAmtWithoutOther,TotalNetAmtWithOther,TotalNetMrg,TotalNetMrgWithoutDisc,TotalNetMrgWithDisc,TotalNetMrgWithoutCoupon,TotalNetMrgWithCoupon,TotalNetMrgWithoutPromo,TotalNetMrgWithPromo,TotalNetMrgWithoutOther,TotalNetMrgWithOther,TotalDiscAmt,TotalCouponDisc,TotalPromoDisc,TotalOtherDisc,TotalSBRD,TotalSBRDWithoutDisc,TotalSBRDWithDisc,Penetration,GMRate,DMRate,DMCoupon,DMPromo,DMOther,MrgRate,CouponPenetration,PromoPenetration,OtherPenetration,Avg_Revenue,NM_Computed,Avg_Profit,month_name,month_of_year,SF
2019,1,1,209,57470,25803621.22,13416336.15,12387285.07,20569425.82,5234195.397,16985517.53,8818103.691,25073005.84,730615.3802,40128751.18,23125890.47,17002860.72,33343774.0,6784977.185,27960666.56,12168084.63,39314975.92,813775.2677,15425650.87,9709554.616,5716096.255,13623710.36,1801940.509,10975163.55,4450487.325,15317091.98,108558.89,4797632.438,1174066.27,3354226.391,269337.4993,-1100520.472,0.0,-1100520.472,0.119555987,0.450142683,0.336184376,0.228561091,0.275308813,0.102190237,0.38440396,0.029257483,0.083586613,0.006711834,192003.5942,15425650.43,73807,Jan,Jan-19,0.9819587746205363
2019,2,1,209,56351,24566089.63,12468747.78,12097341.85,19936605.52,4629484.113,15459011.87,9107077.763,23875146.94,690942.6898,38410340.25,21596850.82,16813489.43,32328823.5,6081516.757,25704011.24,12706329.01,37639261.16,771079.0977,14962717.75,9128103.331,5834614.418,13275204.85,1687512.9,10245483.64,4717234.108,14854676.81,108040.94,4802320.592,1042849.51,3513232.864,246204.9792,-1118466.713,0.0,-1118466.713,0.125026765,0.457389977,0.347019833,0.238761596,0.283264446,0.10392761,0.389549211,0.027150228,0.091465809,0.006409862,183781.5323,14962717.33,71592,Feb,Feb-19,0.9170334977497541
2019,3,1,209,57446,27804777.13,14054916.23,13749860.9,22723503.12,5081274.019,17385739.52,10419037.61,26935834.31,868942.8197,43784546.13,24517786.18,19266759.95,37045927.05,6738619.079,29092445.14,14692100.99,42795649.72,988896.4171,17199300.85,10462870.26,6736430.582,15291771.29,1907529.551,11706732.74,5492568.102,17045656.57,153644.28,5193077.953,1133242.54,3750295.885,309539.5292,-1219531.412,0.0,-1219531.412,0.118605271,0.457196093,0.349640027,0.245947284,0.290840866,0.121300467,0.392816698,0.025882249,0.085653415,0.007069607,209495.436,17199300.41,82293,Mar,Mar-19,1.0147226141144035
2019,4,1,209,57652,26306226.36,14899029.93,11407196.42,21369758.76,4936467.6,18698493.98,7607732.377,25497815.91,808410.4499,41212973.38,25452425.37,15760548.01,34757514.67,6455458.711,30495228.52,10717744.87,40321632.17,891341.2074,15887768.15,10553395.75,5334372.401,14176321.12,1711447.03,11796744.0,4091024.151,15780196.26,107571.8899,4861519.443,1148889.711,3401668.482,310961.2493,-981020.7108,0.0,-981020.7108,0.1179609,0.450342172,0.338463631,0.235303358,0.290174148,0.093040417,0.38550405,0.027876894,0.082538779,0.007545227,197191.2602,15887767.73,76018,Apr,Apr-19,0.9634338028979842
2019,5,1,209,57652,26752233.27,14815242.88,11936990.39,22141083.7,4611149.571,18284273.05,8467960.226,25942619.05,809614.2197,41927694.3,25133760.19,16793934.1,35846986.31,6080707.99,29708213.36,12219480.94,41050780.06,876914.2372,16174798.68,10318517.62,5856281.063,14517152.64,1657646.04,11440356.8,4734441.884,16080339.08,94459.59991,4648126.1,1061636.61,3266635.002,319854.4892,-999337.2106,0.0,-999337.2106,0.110860523,0.447075847,0.348714059,0.241675545,0.307011462,0.076746408,0.385778397,0.025320653,0.077911153,0.007628716,200610.9775,16174798.24,77391,May,May-19,0.9827664281388584
2019,6,1,209,57913,27105003.01,14201144.14,12903858.87,21706318.74,5398684.27,18126884.12,8978118.894,26269411.02,835591.9894,42119063.32,24297190.56,17821872.76,35050700.11,7068363.203,29491318.09,12627745.23,41208613.23,910450.0875,16130026.89,10096046.72,6033980.172,14218693.81,1911333.08,11382859.07,4747167.821,16026296.98,103729.9099,5072673.64,1246149.641,3495288.981,331235.0194,-1115966.141,0.0,-1115966.141,0.120436525,0.449288402,0.338571603,0.23621861,0.289016469,0.08222098,0.382962621,0.029586357,0.082985914,0.007864254,201526.6187,16130026.45,77177,Jun,Jun-19,0.9791828083804102
2019,7,1,210,58604,26250801.02,13292988.11,12957812.91,21589836.46,4660964.562,16442180.63,9808620.394,25440336.48,810464.5396,41206123.77,22856440.28,18349683.49,35098154.61,6107969.163,27019391.86,14186731.91,40319479.02,886644.7472,16072024.62,9563452.456,6508572.163,14409675.65,1662348.971,10579803.25,5492221.373,15966005.28,106019.34,4702647.823,1073404.23,3304307.955,324935.6393,-1116701.411,0.0,-1116701.411,0.114124974,0.452520755,0.35469669,0.236904372,0.308606065,0.085919651,0.390039711,0.026049629,0.08018973,0.007885615,196219.637,16072024.16,76533,Jul,Jul-19,1.0140289348505362
2019,8,1,210,58671,27413195.61,14457996.18,12955199.44,22362985.63,5050209.983,18057776.01,9355419.607,26549415.05,863780.5598,43043741.07,24905885.98,18137855.09,36416964.86,6626776.214,29681386.68,13362354.39,42107685.13,936055.9468,16662495.99,10447890.15,6214605.844,14880209.93,1782286.06,11632125.88,5030370.113,16561488.57,101007.42,5055615.391,1258881.55,3430315.983,366417.8588,-1031950.051,0.0,-1031950.051,0.117452974,0.451526018,0.342631787,0.237908476,0.299867424,0.077212679,0.387106129,0.029246565,0.079693723,0.008512686,204970.1956,16662495.51,79345,Aug,Aug-19,1.025371110347429
2019,9,1,210,58124,26586874.03,12645071.16,13941802.87,20462378.37,6124495.664,16592208.15,9994665.883,25718395.84,868478.1898,41155939.51,22115182.19,19040757.32,33287515.41,7868424.1,27390687.87,13765251.64,40221698.96,934240.5466,15641987.4,9470111.336,6171876.061,13633530.86,2008456.541,10801350.23,4840637.171,15543941.1,98046.29988,5256585.668,1565230.77,3337111.361,354243.5389,-1072921.48,0.0,-1072921.48,0.127723622,0.450278724,0.324140255,0.221636304,0.273920583,0.070391247,0.380066342,0.03803171,0.081084563,0.008607349,195980.6643,15641986.96,74486,Sep,Sep-19,0.992853806481593
2019,10,1,212,57880,27234168.91,13318131.76,13916037.15,20892385.13,6341783.775,17254326.88,9979842.03,26350865.01,883303.9003,42263274.76,23373169.65,18890105.11,34172355.33,8090919.435,28737008.6,13526266.17,41320231.38,943043.3867,16174283.24,10055038.23,6119245.017,14092118.04,2082165.2,11487243.66,4687039.588,16076697.09,97586.14999,5309297.774,1628999.41,3311846.195,368451.8389,-1145176.932,0.0,-1145176.932,0.125624382,0.451595939,0.323939166,0.21618503,0.26218796,0.063347548,0.382703028,0.038544089,0.078362271,0.008718014,199355.0696,16174282.78,76294,Oct,Oct-19,1.024582617637339
